0	0.707107	-0.707107	18.0276	-10.7071	20.9675
0.1	0.76474	-0.644339	19.3746	-7.97049	20.95
0.2	0.800085	-0.599887	20.2756	-5.14994	20.9194
0.3	0.819171	-0.573549	20.7431	-2.31665	20.872
0.4	0.827191	-0.561921	20.8006	0.468508	20.8059
0.5	0.82798	-0.560758	20.4795	3.1563	20.7213
0.6	0.824073	-0.566484	19.8141	5.70887	20.6201
0.7	0.816937	-0.576727	18.8377	8.09806	20.5046
0.8	0.80726	-0.590196	17.5805	10.3029	20.377
0.9	0.795228	-0.606311	16.0678	12.3068	20.2394
1	0.780769	-0.62482	14.3203	14.0953	20.0935
1.1	0.763753	-0.645509	12.3541	15.6537	19.9415
1.2	0.744135	-0.668029	10.1823	16.9649	19.7861
1.3	0.722047	-0.691844	7.81587	18.0078	19.6308
1.4	0.697778	-0.716314	5.26571	18.7551	19.4802
1.5	0.671584	-0.740928	2.54574	19.1711	19.3394
1.6	0.643135	-0.765753	-0.323117	19.2109	19.2136
1.7	0.610372	-0.792115	-3.30715	18.8205	19.1088
1.8	0.567418	-0.82343	-6.35299	17.9411	19.0327
1.9	0.50122	-0.86532	-9.38204	16.5221	19
2	0.387566	-0.921842	-12.2929	14.5445	19.0435
2.1	0.192087	-0.981378	-14.9798	12.0499	19.2248
2.2	-0.111438	-0.993771	-17.3554	9.13759	19.6139
2.3	-0.505686	-0.862718	-19.3251	5.90692	20.2077
2.4	-0.881771	-0.471677	-20.6738	2.40495	20.8132
2.5	-0.990486	0.137612	-20.938	-1.31103	20.979
2.6	-0.813771	0.581186	-20.0055	-5.04695	20.6323
2.7	-0.661225	0.750188	-18.3209	-8.63795	20.2551
2.8	-0.675743	0.737138	-16.1042	-11.9893	20.0771
2.9	-0.848731	0.528826	-13.4531	-14.9996	20.1487
3	-0.999752	0.0222543	-10.4736	-17.5915	20.4734
3.1	-0.704454	-0.70975	-7.20785	-19.6229	20.9048
3.2	0.210263	-0.977645	-3.5685	-20.6174	20.924
3.3	0.878157	-0.478373	0.317138	-20.4705	20.473
3.4	0.996532	0.0832084	4.28121	-19.6452	20.1063
3.5	0.930739	0.365685	8.22182	-18.258	20.0238
3.6	0.932918	0.360089	11.996	-16.3015	20.2396
3.7	0.998245	0.0592134	15.421	-13.7966	20.6919
3.8	0.852599	-0.522566	18.0968	-10.6536	20.9998
3.9	0.3407	-0.940172	19.4527	-6.83337	20.6181
4	-0.1336	-0.991035	19.7881	-2.75883	19.9795
4.1	-0.402831	-0.915274	19.4778	1.26628	19.519
4.2	-0.487513	-0.873116	18.6089	5.07064	19.2873
4.3	-0.422751	-0.906246	17.2168	8.51964	19.2094
4.4	-0.221032	-0.975267	15.3798	11.5393	19.2274
