0.07	0.836979	-0.547234	4.42859	3.34321	5.11334	3.55248	5.5402
0.071	0.840362	-0.542025	4.43213	3.42328	5.30749	3.53747	5.54048
0.072	0.843827	-0.536615	4.43566	3.50782	5.51606	3.52038	5.54168
0.073	0.847379	-0.530988	4.43917	3.59703	5.74033	3.50079	5.54397
0.074	0.851023	-0.525128	4.44266	3.69093	5.98153	3.4782	5.54759
0.075	0.854763	-0.519019	4.44613	3.78934	6.2406	3.45203	5.5528
0.076	0.858603	-0.512641	4.44956	3.89163	6.51794	3.42154	5.55996
0.077	0.862547	-0.505977	4.45297	3.99652	6.81294	3.38587	5.56946
0.078	0.866596	-0.49901	4.45633	4.10175	7.12322	3.34402	5.58177
0.079	0.870749	-0.491727	4.45965	4.20361	7.44374	3.29493	5.59742
0.08	0.875	-0.484122	4.46292	4.2965	7.76547	3.23758	5.61688
0.081	0.879337	-0.4762	4.46613	4.37263	8.07436	3.17121	5.64056
0.082	0.883737	-0.467984	4.46926	4.42227	8.35098	3.09572	5.66852
0.083	0.888169	-0.459517	4.47231	4.435	8.57211	3.01206	5.70036
0.084	0.892592	-0.450866	4.47528	4.40219	8.71514	2.92253	5.73504
0.085	0.896957	-0.442118	4.47816	4.32002	8.76435	2.83062	5.77091
0.086	0.901216	-0.43337	4.48094	4.19147	8.71639	2.74042	5.80607
0.087	0.905327	-0.424715	4.48364	4.02574	8.58132	2.65562	5.83877
0.088	0.909259	-0.41623	4.48626	3.83544	8.37857	2.5788	5.86779
0.089	0.912994	-0.407972	4.4888	3.63321	8.13071	2.51116	5.89255
0.09	0.916525	-0.399977	4.49128	3.42939	7.85827	2.45276	5.91302
0.091	0.919855	-0.392259	4.49371	3.23117	7.57717	2.40293	5.92954
0.092	0.922991	-0.384821	4.49609	3.04289	7.29835	2.36064	5.94258
0.093	0.925945	-0.377659	4.49843	2.8667	7.02859	2.32482	5.95266
0.094	0.928729	-0.37076	4.50074	2.70331	6.77162	2.29442	5.96027
0.095	0.931356	-0.364111	4.50302	2.55254	6.52913	2.26853	5.96584
0.096	0.933838	-0.357697	4.50528	2.41373	6.30152	2.24639	5.96973
0.097	0.936187	-0.351503	4.50752	2.28599	6.08845	2.22736	5.97223
0.098	0.938413	-0.345515	4.50974	2.16834	5.88918	2.21092	5.97359
0.099	0.940527	-0.33972	4.51194	2.05984	5.70274	2.19666	5.974
0.1	0.942536	-0.334106	4.51413	1.95959	5.52814	2.18423	5.97362
0.101	0.944448	-0.32866	4.51631	1.86675	5.36435	2.17335	5.97258
0.102	0.946271	-0.323374	4.51848	1.78058	5.21042	2.16378	5.97098
0.103	0.948011	-0.318237	4.52064	1.70042	5.06547	2.15534	5.96891
0.104	0.949674	-0.31324	4.52279	1.62567	4.92868	2.14788	5.96644
0.105	0.951264	-0.308377	4.52493	1.55582	4.79931	2.14126	5.96362
0.106	0.952787	-0.303639	4.52707	1.49039	4.67669	2.13537	5.9605
0.107	0.954246	-0.299021	4.5292	1.42899	4.56023	2.13012	5.95714
0.108	0.955646	-0.294517	4.53133	1.37124	4.4494	2.12544	5.95355
0.109	0.95699	-0.290121	4.53346	1.31684	4.34371	2.12126	5.94976
0.11	0.958281	-0.285828	4.53557	1.26549	4.24273	2.11752	5.94581
0.111	0.959522	-0.281634	4.53769	1.21693	4.14607	2.11417	5.94171
0.112	0.960716	-0.277535	4.5398	1.17096	4.05339	2.11118	5.93747
0.113	0.961865	-0.273526	4.54191	1.12735	3.96438	2.10851	5.93312
0.114	0.962971	-0.269605	4.54402	1.08594	3.87874	2.10611	5.92867
0.115	0.964037	-0.265767	4.54612	1.04655	3.79624	2.10398	5.92413
0.116	0.965065	-0.262011	4.54823	1.00905	3.71663	2.10208	5.91951
0.117	0.966056	-0.258333	4.55033	0.973296	3.63971	2.10039	5.91481
0.118	0.967012	-0.254731	4.55243	0.93917	3.56529	2.09889	5.91005
0.119	0.967935	-0.251202	4.55453	0.906565	3.49319	2.09757	5.90523
0.12	0.968826	-0.247744	4.55662	0.875381	3.42326	2.09641	5.90036
0.121	0.969686	-0.244355	4.55872	0.845527	3.35535	2.0954	5.89544
0.122	0.970517	-0.241033	4.56081	0.816921	3.28933	2.09453	5.89047
0.123	0.97132	-0.237775	4.56291	0.789488	3.22508	2.09378	5.88547
0.124	0.972096	-0.234582	4.565	0.763157	3.16249	2.09314	5.88043
0.125	0.972847	-0.23145	4.5671	0.737866	3.10145	2.09261	5.87537
0.126	0.973572	-0.228378	4.56919	0.713556	3.04187	2.09218	5.87027
0.127	0.974274	-0.225366	4.57128	0.690172	2.98367	2.09184	5.86514
0.128	0.974953	-0.222411	4.57337	0.667664	2.92675	2.09158	5.86
0.129	0.97561	-0.219512	4.57546	0.645986	2.87106	2.0914	5.85483
0.13	0.976245	-0.216668	4.57755	0.625095	2.8165	2.0913	5.84964
0.131	0.97686	-0.213878	4.57965	0.60495	2.76303	2.09126	5.84443
0.132	0.977455	-0.211142	4.58174	0.585515	2.71057	2.09129	5.83921
0.133	0.978032	-0.208457	4.58383	0.566754	2.65908	2.09137	5.83397
0.134	0.978589	-0.205823	4.58592	0.548636	2.60849	2.09151	5.82872
0.135	0.979129	-0.20324	4.58801	0.531129	2.55877	2.0917	5.82346
0.136	0.979652	-0.200705	4.5901	0.514205	2.50986	2.09193	5.81818
0.137	0.980158	-0.19822	4.5922	0.497839	2.46171	2.09222	5.81289
0.138	0.980647	-0.195782	4.59429	0.482003	2.4143	2.09254	5.8076
0.139	0.981122	-0.193391	4.59638	0.466676	2.36757	2.0929	5.80229
