0	0.707107	-0.707107	0.880312	-0.807107	1.19431
0.1	0.766389	-0.642376	0.940372	-0.741018	1.19725
0.2	0.793696	-0.608315	0.947309	-0.736389	1.19986
0.3	0.769048	-0.639191	0.903964	-0.786832	1.19844
0.4	0.674409	-0.738358	0.813172	-0.882388	1.19994
0.5	0.52288	-0.852406	0.653716	-1.00367	1.19779
0.6	0.350168	-0.936687	0.418579	-1.12462	1.19999
0.7	0.122199	-0.992506	0.131335	-1.1923	1.19951
0.8	-0.148349	-0.988935	-0.167501	-1.18802	1.19977
0.9	-0.374854	-0.927084	-0.449104	-1.11279	1.2
1	-0.552278	-0.83366	-0.674054	-0.992312	1.1996
1.1	-0.684492	-0.72902	-0.826282	-0.870072	1.1999
1.2	-0.761336	-0.648357	-0.912927	-0.778819	1.2
1.3	-0.785202	-0.61924	-0.94547	-0.738882	1.19994
1.4	-0.764223	-0.644953	-0.928225	-0.759422	1.1993
1.5	-0.703115	-0.711076	-0.85733	-0.838425	1.19915
1.6	-0.600165	-0.799876	-0.722147	-0.95837	1.19999
1.7	-0.436505	-0.899702	-0.517418	-1.0826	1.1999
1.8	-0.20698	-0.978345	-0.253836	-1.17278	1.19993
1.9	0.0417133	-0.99913	0.0475259	-1.19905	1.19999
2	0.281137	-0.959668	0.342996	-1.14986	1.19993
2.1	0.490439	-0.871475	0.590419	-1.04469	1.19999
2.2	0.641877	-0.766808	0.771295	-0.91929	1.2
2.3	0.732568	-0.680694	0.884511	-0.810745	1.19986
2.4	0.774106	-0.633056	0.938003	-0.747676	1.19953
2.5	0.775027	-0.631928	0.93999	-0.745008	1.19942
2.6	0.736275	-0.676682	0.890885	-0.803552	1.19974
2.7	0.650734	-0.759305	0.7826	-0.909676	1.19999
2.8	0.505543	-0.862801	0.606914	-1.03521	1.2
2.9	0.300391	-0.953816	0.364342	-1.14332	1.19997
3	0.059697	-0.998217	0.0722038	-1.19783	1.2
3.1	-0.189768	-0.981829	-0.230223	-1.17769	1.19999
3.2	-0.415417	-0.909631	-0.499818	-1.09095	1.2
3.3	-0.588356	-0.808602	-0.708588	-0.968428	1.19998
3.4	-0.702131	-0.712048	-0.847727	-0.849167	1.19989
3.5	-0.763603	-0.645686	-0.923162	-0.766272	1.19975
3.6	-0.780722	-0.624878	-0.944668	-0.739428	1.19965
3.7	-0.756804	-0.653642	-0.916162	-0.774493	1.19966
3.8	-0.688933	-0.724825	-0.832416	-0.864154	1.19987
3.9	-0.568495	-0.822686	-0.683413	-0.986375	1.2
4	-0.386993	-0.922083	-0.465365	-1.10609	1.2
4.1	-0.155628	-0.987816	-0.189235	-1.18497	1.19999
4.2	0.0945462	-0.99552	0.11439	-1.19453	1.2
4.3	0.332489	-0.943107	0.401349	-1.13088	1.19999
4.4	0.527995	-0.849248	0.635731	-1.01775	1.19999
4.5	0.664938	-0.746898	0.801606	-0.892918	1.19995
4.6	0.745536	-0.666466	0.900549	-0.792842	1.19983
4.7	0.778674	-0.627429	0.942099	-0.742721	1.19966
4.8	0.770419	-0.637538	0.933149	-0.753809	1.19958
4.9	0.720583	-0.693369	0.871944	-0.824097	1.19976
5	0.622395	-0.782703	0.749252	-0.937323	1.19998
5.1	0.464724	-0.885456	0.557734	-1.06251	1.2
5.2	0.249154	-0.968464	0.301907	-1.16138	1.19998
5.3	0.00295991	-0.999996	0.00404936	-1.19999	1.2
5.4	-0.243327	-0.969944	-0.294481	-1.16329	1.19999
5.5	-0.458569	-0.888659	-0.552184	-1.0654	1.19999
5.6	-0.618697	-0.78563	-0.745264	-0.940487	1.19997
5.7	-0.720062	-0.69391	-0.869272	-0.827088	1.19988
5.8	-0.770646	-0.637264	-0.931946	-0.755511	1.19972
5.9	-0.778232	-0.627977	-0.942272	-0.742392	1.19959
6	-0.745058	-0.666999	-0.90215	-0.790782	1.19967
6.1	-0.666798	-0.745239	-0.804596	-0.890192	1.19992
6.2	-0.533225	-0.845974	-0.640087	-1.01503	1.2
6.3	-0.338177	-0.941082	-0.40773	-1.1286	1.19999
6.4	-0.100079	-0.99498	-0.122194	-1.19375	1.19999
6.5	0.14966	-0.988738	0.181461	-1.18619	1.19999
6.6	0.38061	-0.924736	0.458897	-1.10878	1.19999
6.7	0.563581	-0.826061	0.678509	-0.989742	1.19998
6.8	0.687117	-0.726546	0.828807	-0.867699	1.19993
6.9	0.756302	-0.654223	0.914023	-0.777203	1.19978
7	0.779934	-0.625862	0.943919	-0.740356	1.19963
7.1	0.762693	-0.646761	0.923743	-0.765348	1.19961
7.2	0.70282	-0.711368	0.849686	-0.847126	1.19983
7.3	0.592128	-0.805844	0.711929	-0.965993	1.19999
7.4	0.420406	-0.907336	0.505138	-1.0885	1.2
7.5	0.195293	-0.980745	0.237284	-1.17629	1.19998
7.6	-0.0533439	-0.998576	-0.0645479	-1.19826	1.2
7.7	-0.295344	-0.955391	-0.356855	-1.1457	1.19999
7.8	-0.499461	-0.866337	-0.601261	-1.03849	1.19999
7.9	-0.646016	-0.763324	-0.77856	-0.913098	1.19996
8	-0.735155	-0.677899	-0.887871	-0.807042	1.19985
8.1	-0.775554	-0.631281	-0.938154	-0.747734	1.19968
8.2	-0.773994	-0.633192	-0.937304	-0.748648	1.19959
8.3	-0.731257	-0.682102	-0.885111	-0.809887	1.19972
8.4	-0.641589	-0.767048	-0.773175	-0.917665	1.19996
8.5	-0.494156	-0.869373	-0.593037	-1.04322	1.2
8.6	-0.286927	-0.957952	-0.346859	-1.14876	1.19999
8.7	-0.0437153	-0.999044	-0.0536672	-1.1988	1.2
